date,spx,tsy
1987-08-31,639.95,369
1987-09-30,625.9208,361.58
1987-10-30,491.1211,376.06
1987-11-30,450.6478,377.72
1987-12-31,484.9307,382.26
1988-01-29,505.328,395.04
1988-02-29,528.8838,399.16
1988-03-31,512.5451,394.7
1988-04-29,518.2141,392.48
1988-05-31,522.6962,389.55
1988-06-30,546.6829,398.43
1988-07-29,544.61,395.54
1988-08-31,526.111,396.26
1988-09-30,548.5262,405.1
1988-10-31,563.799,412.38
1988-11-30,555.7641,407.35
1988-12-30,565.4595,408.99
1989-01-31,606.7916,414.27
1989-02-28,591.67,410.67
1989-03-31,605.4728,413.36
1989-04-28,636.9091,422.27
1989-05-31,662.6774,432.3
1989-06-30,658.9188,447.11
1989-07-31,718.4133,456.72
1989-08-31,732.4577,448.8
1989-09-29,729.4857,450.67
1989-10-31,712.5472,462.63
1989-11-30,727.079,467.05
1989-12-29,744.5396,467.8
1990-01-31,694.5509,460.81
1990-02-28,703.4598,461.62
1990-03-30,722.0678,461.47
1990-04-30,704.001,457.23
1990-05-31,772.5766,470.09
1990-06-29,767.3443,477.54
1990-07-31,764.856,483.59
1990-08-31,695.6666,476.63
1990-09-28,661.7705,481.21
1990-10-31,658.9312,489.14
1990-11-30,701.4779,499.97
1990-12-31,720.982,507.75
1991-01-31,752.3424,513.19
1991-02-28,806.08,515.93
1991-03-29,825.6198,518.53
1991-04-30,827.5245,524.23
1991-05-31,863.2214,526.18
1991-06-28,823.6657,525.39
1991-07-31,862.0366,531.54
1991-08-30,882.3582,543.85
1991-09-30,867.5924,555.31
1991-10-31,879.2471,560.24
1991-11-29,843.7792,565.85
1991-12-31,940.2346,585.4
1992-01-31,922.7161,576.03
1992-02-28,934.6549,578.26
1992-03-31,916.472,574.79
1992-04-30,943.3742,578.39
1992-05-29,948.0688,589.02
1992-06-30,933.9655,597.55
1992-07-31,972.1192,612.79
1992-08-31,952.2172,618.59
1992-09-30,963.4095,627.61
1992-10-30,966.7343,618.39
1992-11-30,999.6448,617.13
1992-12-31,1011.8965,627.63
1993-01-29,1020.3566,641.1
1993-02-26,1034.2559,653.96
1993-03-31,1056.0906,656.13
1993-04-30,1030.5616,661.28
1993-05-31,1058.1029,660.47
1993-06-30,1061.1828,675.25
1993-07-30,1056.9189,679.22
1993-08-31,1097.0017,694.35
1993-09-30,1088.5463,697.07
1993-10-29,1111.0639,699.67
1993-11-30,1100.4705,692
1993-12-31,1113.7493,694.67
1994-01-31,1151.6205,704.24
1994-02-28,1120.3612,689.12
1994-03-31,1071.5337,673.66
1994-04-29,1085.2729,668.39
1994-05-31,1103.0874,667.58
1994-06-30,1076.0696,666.08
1994-07-29,1111.3686,678.22
1994-08-31,1156.9338,678.38
1994-09-30,1128.6147,668.85
1994-10-31,1153.9728,668.43
1994-11-30,1111.9469,667.09
1994-12-30,1128.3834,671.18
1995-01-31,1157.6449,683.6
1995-02-28,1202.7599,698.19
1995-03-31,1238.2442,702.58
1995-04-28,1274.7057,711.77
1995-05-31,1325.6259,740.55
1995-06-30,1356.4106,746.39
1995-07-31,1401.3894,743.62
1995-08-31,1404.8708,752.24
1995-09-29,1464.1631,759.45
1995-10-31,1458.9144,771.19
1995-11-30,1522.9223,783.14
1995-12-29,1552.1936,794.35
1996-01-31,1604.9275,799.36
1996-02-29,1619.7888,782.99
1996-03-29,1635.3779,776.22
1996-04-30,1659.4354,771.25
1996-05-31,1702.1142,770
1996-06-28,1708.5789,779.76
1996-07-31,1633.0517,781.61
1996-08-30,1667.5048,779.98
1996-09-30,1761.3656,792.8
1996-10-31,1809.9153,810.22
1996-11-29,1946.7104,824.26
1996-12-31,1908.099,815.77
1997-01-31,2027.2744,816.58
1997-02-28,2043.164,817.58
1997-03-31,1959.22,808.74
1997-04-30,2076.1269,820.35
1997-05-30,2202.5205,827.44
1997-06-30,2301.2004,836.68
1997-07-31,2484.1909,860.68
1997-08-29,2344.9483,851.96
1997-09-30,2473.3691,864.9
1997-10-31,2390.7407,879.96
1997-11-28,2501.4309,884.55
1997-12-31,2544.3348,893.86
1998-01-30,2572.4485,907.55
1998-02-27,2757.9835,904.85
1998-03-31,2899.1946,907.32
1998-04-30,2928.2926,911.36
1998-05-29,2877.8711,920.83
1998-06-30,2994.741,931.44
1998-07-31,2962.818,932.9
1998-08-31,2534.446,958.24
1998-09-30,2696.8152,984.95
1998-10-30,2916.1493,981.8
1998-11-30,3092.8843,981.58
1998-12-31,3271.0438,983.5
1999-01-29,3407.8265,989.21
1999-02-26,3301.8897,963.96
1999-03-31,3433.9909,967.66
1999-04-30,3566.9453,969.96
1999-05-31,3482.7059,960.91
1999-06-30,3675.9871,958.9
1999-07-30,3561.1705,958.09
1999-08-31,3543.5955,958.23
1999-09-30,3446.4458,965.57
1999-10-29,3664.5146,966.62
1999-11-30,3738.992,964.78
1999-12-31,3959.153,958.37
2000-01-31,3760.2356,960.87
2000-02-29,3689.0243,975.32
2000-03-31,4049.9242,994.69
2000-04-28,3928.0551,991.54
2000-05-31,3847.441,993.06
2000-06-30,3942.2904,1009.8
2000-07-31,3880.8964,1020.2
2000-08-31,4121.9577,1035.18
2000-09-29,3904.3358,1036
2000-10-31,3887.8086,1046.1
2000-11-30,3581.3132,1067.54
2000-12-29,3598.816,1087.91
2001-01-31,3726.4975,1096.76
2001-02-28,3386.6801,1110.02
2001-03-30,3172.135,1113.58
2001-04-30,3418.6156,1099.74
2001-05-31,3441.5166,1103.17
2001-06-29,3357.7318,1109.09
2001-07-31,3324.6449,1136.76
2001-08-31,3116.5253,1151.82
2001-09-28,2864.8177,1170.1
2001-10-31,2919.4031,1202.51
2001-11-30,3143.3664,1172.74
2001-12-31,3170.9007,1161.32
2002-01-31,3124.6551,1169.14
2002-02-28,3064.3284,1179.67
2002-03-29,3179.5749,1151.29
2002-04-30,2986.7582,1179.93
2002-05-31,2964.7531,1186.54
2002-06-28,2753.8081,1203.29
2002-07-31,2539.1584,1231.8
2002-08-30,2555.7746,1258.43
2002-09-30,2278.009,1292.36
2002-10-31,2478.5169,1278.06
2002-11-29,2624.3987,1265.4
2002-12-31,2470.2098,1298.28
2003-01-31,2405.4967,1294.33
2003-02-28,2369.4043,1316.6
2003-03-31,2392.3868,1311.12
2003-04-30,2589.4035,1317.22
2003-05-30,2725.8182,1355.21
2003-06-30,2760.5656,1346.91
2003-07-31,2809.1443,1287.75
2003-08-29,2863.902,1295.39
2003-09-30,2833.4883,1334.45
2003-10-31,2993.6481,1314.09
2003-11-28,3019.9396,1315.73
2003-12-31,3178.2999,1327.38
2004-01-30,3236.6337,1338.69
2004-02-27,3281.5893,1355.28
2004-03-31,3232.0773,1368
2004-04-30,3181.3595,1324
2004-05-31,3224.9662,1319.45
2004-06-30,3287.6974,1324.75
2004-07-30,3178.8745,1337.36
2004-08-31,3191.7063,1365.02
2004-09-30,3226.2554,1368.53
2004-10-29,3275.5558,1379.38
2004-11-30,3408.0749,1360.85
2004-12-31,3523.9616,1374.34
2005-01-31,3438.0608,1384.37
